ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 108, AID: 0, Miner created.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 722, AID: 2, Miner finished mining Iron, current capacity: 2/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 739, AID: 2, Miner finished mining Coal, current capacity: 2/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 861, AID: 1, Miner started mining Copper, current capacity: 2/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 891, AID: 1, Miner started mining Iron, current capacity: 2/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 929, AID: 1, Miner started mining Coal, current capacity: 2/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1032, AID: 2, Miner finished mining Copper, current capacity: 3/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1058, AID: 2, Miner finished mining Iron, current capacity: 3/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1108, AID: 2, Miner finished mining Coal, current capacity: 3/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1204, AID: 1, Miner started mining Copper, current capacity: 3/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1227, AID: 1, Miner started mining Iron, current capacity: 3/20.
ThreadID: 00b7bce6827f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 1252, AID: 9, Smelter created.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1294, AID: 1, Miner started mining Coal, current capacity: 3/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1390, AID: 2, Miner finished mining Copper, current capacity: 4/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1419, AID: 2, Miner finished mining Iron, current capacity: 4/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1488, AID: 2, Miner finished mining Coal, current capacity: 4/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1576, AID: 1, Miner started mining Copper, current capacity: 4/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1607, AID: 1, Miner started mining Iron, current capacity: 4/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1684, AID: 1, Miner started mining Coal, current capacity: 4/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1764, AID: 2, Miner finished mining Copper, current capacity: 5/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1818, AID: 2, Miner finished mining Iron, current capacity: 5/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1880, AID: 2, Miner finished mining Coal, current capacity: 5/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1952, AID: 1, Miner started mining Copper, current capacity: 5/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2011, AID: 1, Miner started mining Iron, current capacity: 5/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2055, AID: 1, Miner started mining Coal, current capacity: 5/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2130, AID: 2, Miner finished mining Copper, current capacity: 6/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2179, AID: 2, Miner finished mining Iron, current capacity: 6/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2227, AID: 2, Miner finished mining Coal, current capacity: 6/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2302, AID: 1, Miner started mining Copper, current capacity: 6/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2350, AID: 1, Miner started mining Iron, current capacity: 6/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2403, AID: 1, Miner started mining Coal, current capacity: 6/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2473, AID: 2, Miner finished mining Copper, current capacity: 7/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2517, AID: 2, Miner finished mining Iron, current capacity: 7/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2575, AID: 2, Miner finished mining Coal, current capacity: 7/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2645, AID: 1, Miner started mining Copper, current capacity: 7/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2685, AID: 1, Miner started mining Iron, current capacity: 7/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2748, AID: 1, Miner started mining Coal, current capacity: 7/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2817, AID: 2, Miner finished mining Copper, current capacity: 8/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2850, AID: 2, Miner finished mining Iron, current capacity: 8/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2921, AID: 2, Miner finished mining Coal, current capacity: 8/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2989, AID: 1, Miner started mining Copper, current capacity: 8/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3022, AID: 1, Miner started mining Iron, current capacity: 8/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3093, AID: 1, Miner started mining Coal, current capacity: 8/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3161, AID: 2, Miner finished mining Copper, current capacity: 9/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3188, AID: 2, Miner finished mining Iron, current capacity: 9/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3265, AID: 2, Miner finished mining Coal, current capacity: 9/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3332, AID: 1, Miner started mining Copper, current capacity: 9/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3359, AID: 1, Miner started mining Iron, current capacity: 9/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3436, AID: 1, Miner started mining Coal, current capacity: 9/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3503, AID: 2, Miner finished mining Copper, current capacity: 10/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3526, AID: 2, Miner finished mining Iron, current capacity: 10/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3608, AID: 2, Miner finished mining Coal, current capacity: 10/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3674, AID: 1, Miner started mining Copper, current capacity: 10/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3696, AID: 1, Miner started mining Iron, current capacity: 10/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3780, AID: 1, Miner started mining Coal, current capacity: 10/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3851, AID: 2, Miner finished mining Copper, current capacity: 11/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3864, AID: 2, Miner finished mining Iron, current capacity: 11/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3951, AID: 2, Miner finished mining Coal, current capacity: 11/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4024, AID: 1, Miner started mining Copper, current capacity: 11/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4034, AID: 1, Miner started mining Iron, current capacity: 11/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4123, AID: 1, Miner started mining Coal, current capacity: 11/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4157, AID: 2, Miner finished mining Copper, current capacity: 12/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4204, AID: 2, Miner finished mining Iron, current capacity: 12/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4295, AID: 2, Miner finished mining Coal, current capacity: 12/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4328, AID: 1, Miner started mining Copper, current capacity: 12/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4375, AID: 1, Miner started mining Iron, current capacity: 12/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4468, AID: 1, Miner started mining Coal, current capacity: 12/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4499, AID: 2, Miner finished mining Copper, current capacity: 13/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4543, AID: 2, Miner finished mining Iron, current capacity: 13/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4639, AID: 2, Miner finished mining Coal, current capacity: 13/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4671, AID: 1, Miner started mining Copper, current capacity: 13/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4709, AID: 1, Miner started mining Iron, current capacity: 13/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4810, AID: 1, Miner started mining Coal, current capacity: 13/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4843, AID: 2, Miner finished mining Copper, current capacity: 14/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4873, AID: 2, Miner finished mining Iron, current capacity: 14/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4982, AID: 2, Miner finished mining Coal, current capacity: 14/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5014, AID: 1, Miner started mining Copper, current capacity: 14/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5043, AID: 1, Miner started mining Iron, current capacity: 14/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5154, AID: 1, Miner started mining Coal, current capacity: 14/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5183, AID: 2, Miner finished mining Copper, current capacity: 15/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5210, AID: 2, Miner finished mining Iron, current capacity: 15/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5312, AID: 2, Miner finished mining Coal, current capacity: 15/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5354, AID: 1, Miner started mining Copper, current capacity: 15/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5380, AID: 1, Miner started mining Iron, current capacity: 15/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5478, AID: 1, Miner started mining Coal, current capacity: 15/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5523, AID: 2, Miner finished mining Copper, current capacity: 16/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5547, AID: 2, Miner finished mining Iron, current capacity: 16/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5634, AID: 2, Miner finished mining Coal, current capacity: 16/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5680, AID: 1, Miner started mining Copper, current capacity: 16/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5719, AID: 1, Miner started mining Iron, current capacity: 16/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5790, AID: 1, Miner started mining Coal, current capacity: 16/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5835, AID: 2, Miner finished mining Copper, current capacity: 17/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5885, AID: 2, Miner finished mining Iron, current capacity: 17/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5946, AID: 2, Miner finished mining Coal, current capacity: 17/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5992, AID: 1, Miner started mining Copper, current capacity: 17/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6056, AID: 1, Miner started mining Iron, current capacity: 17/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6101, AID: 1, Miner started mining Coal, current capacity: 17/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6148, AID: 2, Miner finished mining Copper, current capacity: 18/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6224, AID: 2, Miner finished mining Iron, current capacity: 18/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6258, AID: 2, Miner finished mining Coal, current capacity: 18/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6305, AID: 1, Miner started mining Copper, current capacity: 18/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6396, AID: 1, Miner started mining Iron, current capacity: 18/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6414, AID: 1, Miner started mining Coal, current capacity: 18/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6462, AID: 2, Miner finished mining Copper, current capacity: 19/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6562, AID: 2, Miner finished mining Iron, current capacity: 19/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6570, AID: 2, Miner finished mining Coal, current capacity: 19/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6618, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6726, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6733, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6774, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6883, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6900, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 7087, AID: 5, Transporter is traveling to miner.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 7428, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7605, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7611, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7778, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7779, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 7954, AID: 5, Transporter is traveling to miner.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 8294, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 8470, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 8483, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 8642, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 8654, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 8814, AID: 5, Transporter is traveling to miner.
ThreadID: 00c73ce7827f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 9152, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 9327, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 9330, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 9502, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 9511, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 9676, AID: 5, Transporter is traveling to miner.
ThreadID: 00a73ce6827f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 9692, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a73ce6827f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 9853, AID: 15, Foundry finished producing steel ingot. 1 steel ingots are produced.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 10020, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 10195, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 10201, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 10368, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 10369, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 10541, AID: 5, Transporter is traveling to miner.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 10881, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 11056, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 11070, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 11219, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 00e73ce8827f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 11243, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 11379, AID: 5, Transporter is traveling to miner.
ThreadID: 00b7bce6827f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 11393, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 00b7bce6827f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 11568, AID: 11, Smelter finished producing Copper ingot. 1 ingots are produced.
ThreadID: 00c73ce7827f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 11691, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 11851, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 11866, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 12008, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00d7bce7827f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 12035, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 12180, AID: 5, Transporter is traveling to miner.
ThreadID: 00a73ce6827f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 12187, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a73ce6827f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 12342, AID: 15, Foundry finished producing steel ingot. 2 steel ingots are produced.
ThreadID: 00c73ce7827f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 12489, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 12644, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 12649, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 12797, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 00f7bce8827f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 12811, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 12951, AID: 5, Transporter is traveling to miner.
ThreadID: 00c73ce7827f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 13257, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 00c73ce7827f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 13412, AID: 5, Transporter is traveling to smelter, carrying: Copper.
