ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 120, AID: 0, Miner created.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5067, AID: 2, Miner finished mining Coal, current capacity: 14/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5146, AID: 1, Miner started mining Copper, current capacity: 14/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5235, AID: 1, Miner started mining Iron, current capacity: 14/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5254, AID: 1, Miner started mining Coal, current capacity: 14/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5314, AID: 2, Miner finished mining Copper, current capacity: 15/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5414, AID: 2, Miner finished mining Iron, current capacity: 15/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5421, AID: 2, Miner finished mining Coal, current capacity: 15/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5485, AID: 1, Miner started mining Copper, current capacity: 15/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5581, AID: 1, Miner started mining Coal, current capacity: 15/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5590, AID: 1, Miner started mining Iron, current capacity: 15/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5653, AID: 2, Miner finished mining Copper, current capacity: 16/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5763, AID: 2, Miner finished mining Coal, current capacity: 16/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5773, AID: 2, Miner finished mining Iron, current capacity: 16/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5819, AID: 1, Miner started mining Copper, current capacity: 16/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5936, AID: 1, Miner started mining Coal, current capacity: 16/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5949, AID: 1, Miner started mining Iron, current capacity: 16/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5984, AID: 2, Miner finished mining Copper, current capacity: 17/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6107, AID: 2, Miner finished mining Coal, current capacity: 17/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6121, AID: 2, Miner finished mining Iron, current capacity: 17/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6164, AID: 1, Miner started mining Copper, current capacity: 17/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6265, AID: 1, Miner started mining Coal, current capacity: 17/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6294, AID: 1, Miner started mining Iron, current capacity: 17/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6324, AID: 2, Miner finished mining Copper, current capacity: 18/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6430, AID: 2, Miner finished mining Coal, current capacity: 18/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6461, AID: 2, Miner finished mining Iron, current capacity: 18/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6485, AID: 1, Miner started mining Copper, current capacity: 18/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6596, AID: 1, Miner started mining Coal, current capacity: 18/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6629, AID: 1, Miner started mining Iron, current capacity: 18/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6645, AID: 2, Miner finished mining Copper, current capacity: 19/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6763, AID: 2, Miner finished mining Coal, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6795, AID: 2, Miner finished mining Iron, current capacity: 19/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6805, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6929, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6951, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6964, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 7095, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7105, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 7265, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 7440, AID: 5, Transporter is traveling to miner.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 7591, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 7619, AID: 5, Transporter is traveling to miner.
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 7753, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7758, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7759, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 1, FID: 0, time stamp: 7910, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 7913, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7923, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7935, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 00872e736d7f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 7957, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 1, FID: 0, time stamp: 8066, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 8078, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 8106, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 8127, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 8130, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 8276, AID: 5, Transporter is traveling to miner.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 8302, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 8302, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 8440, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 8480, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 8481, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 8586, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 8609, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 8610, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 1, FID: 0, time stamp: 8742, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 8747, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 8769, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 8779, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00872e736d7f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 8813, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 1, FID: 0, time stamp: 8897, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 8908, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 8948, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 8950, AID: 15, Foundry finished producing steel ingot. 1 steel ingots are produced.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 8985, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 8986, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 9055, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 9120, AID: 5, Transporter is traveling to miner.
ThreadID: 00a72e746d7f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 9156, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00872e736d7f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 9156, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00672e726d7f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 9211, AID: 11, Smelter finished producing Copper ingot. 1 ingots are produced.
ThreadID: 0097ae736d7f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 9282, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00872e736d7f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 9329, AID: 5, Transporter is traveling to miner.
ThreadID: 0057ae716d7f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 9330, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0077ae726d7f0000, MID: 2, TID: 3, SID: 0, FID: 0, time stamp: 9428, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 0097ae736d7f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 9451, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00c72e756d7f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 9452, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0077ae726d7f0000, MID: 0, TID: 3, SID: 1, FID: 0, time stamp: 9585, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 00b7ae746d7f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 9589, AID: 1, Miner started mining Copper, current capacity: 19/20.
