ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 74, AID: 0, Miner created.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1742, AID: 2, Miner finished mining Iron, current capacity: 5/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1744, AID: 2, Miner finished mining Coal, current capacity: 5/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1744, AID: 2, Miner finished mining Copper, current capacity: 5/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 1940, AID: 1, Miner started mining Iron, current capacity: 5/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 1941, AID: 1, Miner started mining Copper, current capacity: 5/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 1941, AID: 1, Miner started mining Coal, current capacity: 5/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2116, AID: 2, Miner finished mining Iron, current capacity: 6/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2158, AID: 2, Miner finished mining Copper, current capacity: 6/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2198, AID: 2, Miner finished mining Coal, current capacity: 6/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2288, AID: 1, Miner started mining Iron, current capacity: 6/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2323, AID: 1, Miner started mining Copper, current capacity: 6/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2370, AID: 1, Miner started mining Coal, current capacity: 6/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2458, AID: 2, Miner finished mining Iron, current capacity: 7/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2488, AID: 2, Miner finished mining Copper, current capacity: 7/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2541, AID: 2, Miner finished mining Coal, current capacity: 7/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2629, AID: 1, Miner started mining Iron, current capacity: 7/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2654, AID: 1, Miner started mining Copper, current capacity: 7/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2713, AID: 1, Miner started mining Coal, current capacity: 7/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2800, AID: 2, Miner finished mining Iron, current capacity: 8/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2819, AID: 2, Miner finished mining Copper, current capacity: 8/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 2883, AID: 2, Miner finished mining Coal, current capacity: 8/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 2973, AID: 1, Miner started mining Iron, current capacity: 8/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 2984, AID: 1, Miner started mining Copper, current capacity: 8/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3054, AID: 1, Miner started mining Coal, current capacity: 8/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3143, AID: 2, Miner finished mining Iron, current capacity: 9/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3148, AID: 2, Miner finished mining Copper, current capacity: 9/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3225, AID: 2, Miner finished mining Coal, current capacity: 9/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3313, AID: 1, Miner started mining Copper, current capacity: 9/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3314, AID: 1, Miner started mining Iron, current capacity: 9/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3395, AID: 1, Miner started mining Coal, current capacity: 9/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3481, AID: 2, Miner finished mining Copper, current capacity: 10/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3502, AID: 2, Miner finished mining Iron, current capacity: 10/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3564, AID: 2, Miner finished mining Coal, current capacity: 10/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3643, AID: 1, Miner started mining Copper, current capacity: 10/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3674, AID: 1, Miner started mining Iron, current capacity: 10/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3743, AID: 1, Miner started mining Coal, current capacity: 10/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3812, AID: 2, Miner finished mining Copper, current capacity: 11/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 3832, AID: 2, Miner finished mining Iron, current capacity: 11/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 3911, AID: 2, Miner finished mining Coal, current capacity: 11/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 3976, AID: 1, Miner started mining Copper, current capacity: 11/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4002, AID: 1, Miner started mining Iron, current capacity: 11/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4069, AID: 1, Miner started mining Coal, current capacity: 11/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4140, AID: 2, Miner finished mining Copper, current capacity: 12/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4171, AID: 2, Miner finished mining Iron, current capacity: 12/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4225, AID: 2, Miner finished mining Coal, current capacity: 12/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4305, AID: 1, Miner started mining Copper, current capacity: 12/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4341, AID: 1, Miner started mining Iron, current capacity: 12/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4380, AID: 1, Miner started mining Coal, current capacity: 12/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4469, AID: 2, Miner finished mining Copper, current capacity: 13/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4509, AID: 2, Miner finished mining Iron, current capacity: 13/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4535, AID: 2, Miner finished mining Coal, current capacity: 13/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4634, AID: 1, Miner started mining Copper, current capacity: 13/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4679, AID: 1, Miner started mining Iron, current capacity: 13/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4690, AID: 1, Miner started mining Coal, current capacity: 13/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4799, AID: 2, Miner finished mining Copper, current capacity: 14/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 4846, AID: 2, Miner finished mining Coal, current capacity: 14/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 4847, AID: 2, Miner finished mining Iron, current capacity: 14/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 4963, AID: 1, Miner started mining Copper, current capacity: 14/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5005, AID: 1, Miner started mining Coal, current capacity: 14/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5025, AID: 1, Miner started mining Iron, current capacity: 14/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5127, AID: 2, Miner finished mining Copper, current capacity: 15/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5160, AID: 2, Miner finished mining Coal, current capacity: 15/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5194, AID: 2, Miner finished mining Iron, current capacity: 15/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5292, AID: 1, Miner started mining Copper, current capacity: 15/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5315, AID: 1, Miner started mining Coal, current capacity: 15/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5369, AID: 1, Miner started mining Iron, current capacity: 15/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5456, AID: 2, Miner finished mining Copper, current capacity: 16/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5470, AID: 2, Miner finished mining Coal, current capacity: 16/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5525, AID: 2, Miner finished mining Iron, current capacity: 16/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5621, AID: 1, Miner started mining Copper, current capacity: 16/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5626, AID: 1, Miner started mining Coal, current capacity: 16/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5681, AID: 1, Miner started mining Iron, current capacity: 16/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5783, AID: 2, Miner finished mining Coal, current capacity: 17/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5786, AID: 2, Miner finished mining Copper, current capacity: 17/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5837, AID: 2, Miner finished mining Iron, current capacity: 17/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 5939, AID: 1, Miner started mining Coal, current capacity: 17/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 5950, AID: 1, Miner started mining Copper, current capacity: 17/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 5993, AID: 1, Miner started mining Iron, current capacity: 17/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6095, AID: 2, Miner finished mining Coal, current capacity: 18/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6112, AID: 2, Miner finished mining Copper, current capacity: 18/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6151, AID: 2, Miner finished mining Iron, current capacity: 18/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6251, AID: 1, Miner started mining Coal, current capacity: 18/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6277, AID: 1, Miner started mining Copper, current capacity: 18/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6308, AID: 1, Miner started mining Iron, current capacity: 18/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6407, AID: 2, Miner finished mining Coal, current capacity: 19/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6440, AID: 2, Miner finished mining Copper, current capacity: 19/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6463, AID: 2, Miner finished mining Iron, current capacity: 19/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6562, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6606, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6620, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 6717, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 6771, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 6776, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 000730eaa37f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 6958, AID: 5, Transporter is traveling to miner.
ThreadID: 00f7afe9a37f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 7128, AID: 5, Transporter is traveling to miner.
ThreadID: 000730eaa37f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 7280, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00f7afe9a37f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 7438, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7454, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7454, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 7598, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 1, FID: 0, time stamp: 7599, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 7605, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 7625, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 1, FID: 0, time stamp: 7741, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 1/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 7779, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 000730eaa37f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 7783, AID: 5, Transporter is traveling to miner.
ThreadID: 00f7afe9a37f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 7954, AID: 5, Transporter is traveling to miner.
ThreadID: 000730eaa37f0000, MID: 3, TID: 1, SID: 0, FID: 0, time stamp: 8117, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 00f7afe9a37f0000, MID: 1, TID: 2, SID: 0, FID: 0, time stamp: 8260, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 8286, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 8287, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 8416, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 8446, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 8453, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 8571, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 000730eaa37f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 8612, AID: 5, Transporter is traveling to miner.
ThreadID: 00d7afe8a37f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 8615, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 8614, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 8775, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (1/20), iron: (2/20).
ThreadID: 00f7afe9a37f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 8931, AID: 5, Transporter is traveling to miner.
ThreadID: 00d7afe8a37f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 8933, AID: 15, Foundry finished producing steel ingot. 1 steel ingots are produced.
ThreadID: 000730eaa37f0000, MID: 2, TID: 1, SID: 0, FID: 0, time stamp: 8943, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 9115, AID: 5, Transporter is traveling to smelter, carrying: Copper.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 9119, AID: 1, Miner started mining Copper, current capacity: 19/20.
ThreadID: 00f7afe9a37f0000, MID: 3, TID: 2, SID: 0, FID: 0, time stamp: 9238, AID: 6, Transporter take Coal from miner, current fill 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 1, FID: 0, time stamp: 9280, AID: 7, Transporter put Copper ore to smelter. Waiting Ore 2/20.
ThreadID: 002730eba37f0000, MID: 2, TID: 0, SID: 0, FID: 0, time stamp: 9281, AID: 2, Miner finished mining Copper, current capacity: 20/20.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 9393, AID: 5, Transporter is traveling to foundry, carrying: Coal.
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 9404, AID: 1, Miner started mining Coal, current capacity: 19/20.
ThreadID: 000730eaa37f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 9441, AID: 5, Transporter is traveling to miner.
ThreadID: 00e72fe9a37f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 9443, AID: 10, Smelter started producing Copper ingot. Waiting Ore 2/20.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 0, FID: 1, time stamp: 9548, AID: 7, Transporter put Coal ore to foundry. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 0017b0eaa37f0000, MID: 3, TID: 0, SID: 0, FID: 0, time stamp: 9561, AID: 2, Miner finished mining Coal, current capacity: 20/20.
ThreadID: 00e72fe9a37f0000, MID: 0, TID: 0, SID: 1, FID: 0, time stamp: 9598, AID: 11, Smelter finished producing Copper ingot. 1 ingots are produced.
ThreadID: 00f7afe9a37f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 9704, AID: 5, Transporter is traveling to miner.
ThreadID: 00d7afe8a37f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 9705, AID: 14, Foundry started producing steel ingot. Waiting Ore coal: (1/20), iron: (1/20).
ThreadID: 000730eaa37f0000, MID: 1, TID: 1, SID: 0, FID: 0, time stamp: 9714, AID: 6, Transporter take Iron from miner, current fill 19/20.
ThreadID: 00d7afe8a37f0000, MID: 0, TID: 0, SID: 0, FID: 1, time stamp: 9863, AID: 15, Foundry finished producing steel ingot. 2 steel ingots are produced.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 9870, AID: 5, Transporter is traveling to foundry, carrying: Iron.
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 9872, AID: 1, Miner started mining Iron, current capacity: 19/20.
ThreadID: 00f7afe9a37f0000, MID: 2, TID: 2, SID: 0, FID: 0, time stamp: 10012, AID: 6, Transporter take Copper from miner, current fill 19/20.
ThreadID: 000730eaa37f0000, MID: 0, TID: 1, SID: 0, FID: 1, time stamp: 10026, AID: 7, Transporter put Iron ore to foundry. Waiting Ore coal: (0/20), iron: (1/20).
ThreadID: 0037b0eba37f0000, MID: 1, TID: 0, SID: 0, FID: 0, time stamp: 10030, AID: 2, Miner finished mining Iron, current capacity: 20/20.
ThreadID: 00f7afe9a37f0000, MID: 0, TID: 2, SID: 1, FID: 0, time stamp: 10168, AID: 5, Transporter is traveling to smelter, carrying: Copper.
